%Starting New File
%File Name="/sd/SoftTiss.csv"
%Strain,StrainDot,StrainDotDot
0.3965520,-0.0000000,-117.2886353
0.3965520,-0.0000000,-117.2886353
0.3965520,-0.0000000,-0.0000000
0.3908049,-0.0000000,-0.0000000
0.3965520,0.8210205,-0.0000000
0.3908049,-0.0000000,-0.0000000
0.3965520,0.8210205,-0.0000000
0.3965520,0.8210205,-0.0000000
0.0114943,6.5681639,-117.2886581
0.0058140,6.6445379,-118.6524811
0.0174419,6.6445379,-118.6524811
0.0290699,7.4751048,-118.6524811
0.0348838,7.4751048,-118.6524811
0.0406978,7.4751048,-0.0000000
0.0523257,7.4751048,-0.0000000
0.0581397,6.6445379,-0.0000000
0.0697677,7.4751048,-0.0000000
0.0755816,6.6445379,-0.0000000
0.0813956,5.8139706,-0.0000000
0.0872096,5.8139706,-0.0000000
0.0988366,6.6444087,118.6340179
0.1046506,6.6444087,118.6340179
0.1104645,6.6444087,118.6340179
0.1162785,5.8138413,118.6340179
0.1279065,6.6444087,118.6340179
0.1337204,6.6444087,118.6340179
0.1395344,6.6444087,118.6340179
0.1453484,5.8139706,-118.6340179
0.1569763,5.8139706,-118.6340179
0.1569763,4.9834032,-118.6340179
0.1686043,5.8139706,-118.6340179
0.1744182,4.9834032,-118.6340179
0.1802322,4.9834032,-118.6340179
0.1860462,4.9834032,-118.6340179
0.1976741,5.8139706,118.6524811
0.1976741,5.8139706,118.6524811
0.2034881,6.6445379,118.6524811
0.2093021,5.8139706,118.6524811
0.2151160,5.8139706,118.6524811
0.2209300,5.8139706,118.6524811
0.2267440,5.8139706,118.6524811
0.2325579,4.9834032,-118.6524811
0.2325579,4.9834032,-118.6524811
0.2383719,4.9834032,-118.6524811
0.2441859,4.9834032,-118.6524811
0.2441859,4.1528363,-118.6524811
0.2558138,4.9834032,-118.6524811
0.2558138,4.1528363,-118.6524811
0.2616278,4.1528363,-0.0000000
0.2674417,4.1528363,-0.0000000
0.2732557,4.1528363,-0.0000000
0.2790697,4.1528363,-0.0000000
0.2790697,4.1528363,-0.0000000
0.2848837,3.3222690,-0.0000000
0.2848837,3.3222690,-0.0000000
0.2906976,3.3222690,-0.0000000
0.2965116,3.3222690,-0.0000000
0.2965116,2.4917016,-0.0000000
0.3023256,2.4917016,-0.0000000
0.3081396,3.3222690,-0.0000000
0.3081396,2.4917016,-0.0000000
0.3139535,3.3222690,-0.0000000
0.3139535,2.4917016,-118.6524811
0.3197675,2.4917016,-118.6524811
0.3255815,3.3222690,-118.6524811
0.3255815,2.4917016,-118.6524811
0.3313954,2.4917016,-118.6524811
0.3313954,2.4917016,-118.6524811
0.3313954,1.6611345,-118.6524811
0.3372094,2.4917016,118.6524353
0.3372094,2.4917016,118.6524353
0.3430234,2.4917016,118.6524353
0.3430234,2.4917016,118.6524353
0.3488373,2.4917016,118.6524353
0.3488373,2.4917016,118.6524353
0.3488373,2.4917016,118.6524353
0.3546513,2.4917016,-0.0000000
0.3546513,2.4917016,-0.0000000
0.3546513,1.6611345,-0.0000000
0.3604653,2.4917016,-0.0000000
0.3604653,1.6611345,-0.0000000
0.3604653,1.6611345,-0.0000000
0.3662793,2.4917016,-0.0000000
0.3662793,1.6611345,-118.6524353
0.3662793,1.6611345,-118.6524353
0.3662793,1.6611345,-118.6524353
0.3662793,0.8305672,-118.6524353
0.3720932,1.6611345,-118.6524353
0.3720932,1.6611345,-118.6524353
0.3720932,0.8305672,-118.6524353
0.3779072,1.6611345,118.6524582
0.3779072,1.6611345,118.6524582
0.3779072,1.6611345,118.6524582
0.3779072,1.6611345,118.6524582
0.3779072,0.8305672,118.6524582
0.3779072,0.8305672,118.6524582
0.3779072,0.8305672,118.6524582
0.3779072,-0.0000000,-118.6524582
0.3837212,-0.0000000,-118.6524582
0.3837212,-0.0000000,-118.6524582
0.3837212,-0.0000000,-118.6524582
0.3837212,-0.0000000,-118.6524582
0.3837212,-0.0000000,-118.6524582
0.3837212,-0.0000000,-118.6524582
0.3837212,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3837212,-0.8305672,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,0.8305672,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
0.3895352,-0.0000000,-0.0000000
-0.3895352,-2.4917016,474.6098022
-0.0041841,-2.3909211,-85.3900528
-0.0041841,-2.3909211,-85.3900528
-0.0167364,-3.5863819,-85.3900528
-0.0167364,-3.5863819,-85.3900528
-0.0209206,-3.5863819,-85.3900528
0.2845190,4.7818422,-85.3900070
0.0000000,6.6833949,-119.3462906
0.0116959,6.6833949,-119.3462906
0.0292399,9.1896687,-119.3462906
0.0292399,7.5188198,-119.3462906
0.0467838,8.3542442,-119.3462906
0.0467838,8.3542442,-119.3462906
0.0584797,8.3542442,-0.0000000
0.0701756,8.3542442,-0.0000000
0.0701756,6.6833954,-0.0000000
0.0877196,6.6833954,-0.0000000
0.0877196,6.6833954,-0.0000000
0.0935666,5.0124168,-0.0000000
0.1111105,7.5186901,-0.0000000
0.1111105,5.8478408,-238.6927185
0.1228065,5.8478408,-238.6927185
0.1228065,5.8478408,-238.6927185
0.1345024,5.0124168,-238.6927185
0.1461984,6.6832657,-238.6927185
0.1461984,5.8479710,-238.6927185
0.1578943,5.0125461,-238.6927185
0.1578943,5.0125461,-0.0000000
0.1637423,5.0125461,-0.0000000
0.1812862,7.5188198,-0.0000000
0.1812862,5.8479710,-0.0000000
0.1929821,5.8479710,-0.0000000
0.1929821,5.8479710,-0.0000000
0.1988301,5.0125465,-0.0000000
0.2046781,5.8479710,119.3463593
0.2046781,5.8479710,119.3463593
0.2163740,5.0125461,119.3463593
0.2163740,5.0125461,119.3463593
0.2222220,4.1771216,119.3463593
0.2339179,5.8479705,119.3463593
0.2339179,5.0125461,119.3463593
0.2397659,5.0125461,-0.0000000
0.2397659,5.0125461,-0.0000000
0.2456139,4.1771216,-0.0000000
0.2573098,5.8479705,-0.0000000
0.2573098,5.0125461,-0.0000000
0.2631578,4.1771216,-0.0000000
0.2631578,4.1771216,-0.0000000
0.2690057,4.1771216,-0.0000000
0.2748537,4.1771216,-0.0000000
0.2748537,3.3416975,-0.0000000
0.2865497,3.3416975,-0.0000000
0.2865497,3.3416975,-0.0000000
0.2865497,2.5062730,-0.0000000
0.2982456,4.1771216,-0.0000000
0.2982456,3.3416975,-119.3463287
0.3040936,3.3416975,-119.3463287
0.3040936,3.3416975,-119.3463287
0.3099416,2.5062730,-119.3463287
0.3157895,3.3416975,-119.3463287
0.3157895,3.3416975,-119.3463287
0.3216375,2.5062730,-119.3463287
0.3216375,2.5062730,-0.0000000
0.3216375,2.5062730,-0.0000000
0.3274855,3.3416975,-0.0000000
0.3274855,2.5062730,-0.0000000
0.3333334,2.5062730,-0.0000000
0.3333334,2.5062730,-0.0000000
0.3391814,2.5062730,-0.0000000
0.3391814,2.5062730,-0.0000000
0.3391814,2.5062730,-0.0000000
0.3450294,2.5062730,-0.0000000
0.3450294,2.5062730,-0.0000000
0.3508773,2.5062730,-0.0000000
0.3567253,3.3416975,-0.0000000
0.3567253,2.5062730,-0.0000000
0.3567253,2.5062730,-0.0000000
0.3567253,2.5062730,-0.0000000
0.3567253,1.6708487,-0.0000000
0.3567253,1.6708487,-0.0000000
0.3567253,0.8354244,-0.0000000
0.3684213,1.6708487,-0.0000000
0.3684213,1.6708487,-0.0000000
0.3625733,0.8354244,-119.3463364
0.3684213,0.8354244,-119.3463364
0.3684213,0.8354244,-119.3463364
0.3684213,0.8354244,-119.3463364
0.3684213,0.8354244,-119.3463364
0.3742692,-0.0000000,-119.3463364
0.3742692,-0.0000000,-119.3463364
0.3742692,0.8354244,119.3463364
0.3742692,0.8354244,119.3463364
0.3742692,0.8354244,119.3463364
0.3801172,1.6708487,119.3463364
0.3801172,1.6708487,119.3463364
0.3801172,0.8354244,119.3463364
0.3801172,0.8354244,119.3463364
0.3801172,0.8354244,-0.0000000
0.3801172,0.8354244,-0.0000000
0.3801172,0.8354244,-0.0000000
0.3801172,-0.0000000,-0.0000000
0.3859652,0.8354244,-0.0000000
0.3859652,0.8354244,-0.0000000
0.3859652,0.8354244,-0.0000000
0.3859652,0.8354244,-0.0000000
0.3859652,0.8354244,-0.0000000
0.3859652,0.8354244,-0.0000000
0.3859652,0.8354244,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3918131,0.8354244,-0.0000000
0.3918131,0.8354244,-0.0000000
0.3859652,-0.0000000,-0.0000000
0.3918131,0.8354244,119.3463364
-0.3918131,-5.0125465,358.0389404
-0.0042017,-4.2016926,257.2464294
-0.0042017,-2.4009671,257.2464294
-0.0084034,-3.0012085,257.2464294
-0.0084034,-1.8007252,171.4976044
-0.0210085,-1.8007252,171.4976044
-0.0210085,-1.2004836,171.4976044
-0.0210085,-1.2004836,171.4976044
-0.0336135,-2.4009671,171.4976044
0.2857144,5.4021759,-0.0000000
0.0000000,6.7227092,-0.0000000
0.0235295,8.4033852,240.0966034
0.0294119,8.4033852,240.0966034
0.0352942,7.5630474,240.0966034
0.0470590,8.4033852,240.0966034
0.0470590,6.7227092,240.0966034
0.0647061,8.4033871,240.0966034
0.0705884,9.2437248,240.0966034
0.0764708,6.7227097,-360.1450806
0.0882346,6.7227097,-360.1450806
0.0882346,5.8823709,-360.1450806
0.0999994,5.8823709,-360.1450806
0.1117641,7.5630479,-360.1450806
0.1117641,5.0420318,-360.1450806
0.1235289,5.8823705,-360.1450806
0.1235289,5.0420318,-120.0484009
0.1411760,5.0420318,-120.0484009
0.1470584,5.8823705,-120.0484009
0.1529407,5.0420318,-120.0484009
0.1588231,4.2016926,-120.0484009
0.1588231,4.2016926,-120.0484009
0.1705878,4.2016926,-120.0484009
0.1764702,5.0420318,120.0484009
0.1823526,5.0420318,120.0484009
0.1941173,5.8823705,120.0484009
0.1941173,5.0420318,120.0484009
0.1999997,5.0420318,120.0484009
0.2058821,5.8823705,120.0484009
0.2117644,5.0420318,120.0484009
0.2176468,5.0420318,-0.0000000
0.2176468,5.0420318,-0.0000000
0.2294115,5.0420318,-0.0000000
0.2294115,5.0420318,-0.0000000
0.2352939,5.0420318,-0.0000000
0.2352939,4.2016931,-0.0000000
0.2352939,3.3613546,-0.0000000
0.2470587,4.2016926,120.0483017
0.2588234,4.2016926,120.0483017
0.2588234,2.5210159,120.0483017
0.2647058,3.3613546,120.0483017
0.2647058,2.5210159,120.0483017
0.2705882,3.3613546,120.0483017
0.2764705,4.2016926,120.0483017
0.2823529,3.3613546,-120.0483017
0.2823529,3.3613546,-120.0483017
0.2823529,3.3613546,-120.0483017
0.2882352,3.3613546,-120.0483017
0.2941176,4.2016931,-120.0483017
0.3000000,4.2016931,-120.0483017
0.3058824,4.2016931,-120.0483017
0.3058824,3.3613546,-120.0483704
0.3117647,3.3613546,-120.0483704
0.3117647,3.3613546,-120.0483704
0.3176471,3.3613546,-120.0483704
0.3176471,2.5210159,-120.0483704
0.3176471,1.6806773,-120.0483704
0.3235295,1.6806773,-120.0483704
0.3294119,2.5210159,120.0483551
0.3294119,2.5210159,120.0483551
0.3294119,2.5210159,120.0483551
0.3294119,1.6806773,120.0483551
0.3411766,3.3613546,120.0483551
0.3411766,3.3613546,120.0483551
0.3411766,2.5210159,120.0483551
0.3411766,1.6806773,-120.0483551
0.3411766,1.6806773,-120.0483551
0.3470590,2.5210159,-120.0483551
0.3529413,3.3613546,-120.0483551
0.3529413,1.6806773,-120.0483551
0.3529413,1.6806773,-120.0483551
0.3529413,1.6806773,-120.0483551
0.3588237,2.5210159,120.0483551
0.3588237,2.5210159,120.0483551
0.3588237,1.6806773,120.0483551
0.3647061,1.6806773,120.0483551
0.3647061,1.6806773,120.0483551
0.3647061,1.6806773,120.0483551
0.3647061,1.6806773,120.0483551
0.3647061,0.8403386,-120.0483780
0.3705885,0.8403386,-120.0483780
0.3705885,0.8403386,-120.0483780
0.3705885,-0.0000000,-120.0483780
0.3705885,-0.0000000,-120.0483780
0.3705885,-0.0000000,-120.0483780
0.3764708,0.8403386,-120.0483780
0.3764708,0.8403386,-0.0000000
0.3764708,0.8403386,-0.0000000
0.3764708,0.8403386,-0.0000000
0.3764708,0.8403386,-0.0000000
0.3823532,1.6806773,-0.0000000
0.3823532,1.6806773,-0.0000000
0.3764708,-0.0000000,-0.0000000
0.3764708,-0.0000000,-0.0000000
0.3823532,-0.0000000,-0.0000000
0.3823532,-0.0000000,-0.0000000
0.3823532,-0.0000000,-0.0000000
0.3823532,-0.8403386,-0.0000000
0.3823532,-0.8403386,-0.0000000
0.3823532,-0.0000000,-0.0000000
0.3823532,-0.0000000,-0.0000000
0.3823532,-0.0000000,-0.0000000
0.3823532,-0.0000000,-0.0000000
0.3823532,-0.0000000,-0.0000000
0.3823532,-0.0000000,-0.0000000
0.3823532,-0.0000000,-0.0000000
0.3823532,-0.0000000,-0.0000000
0.3823532,-0.0000000,-0.0000000
0.3823532,-0.0000000,-0.0000000
0.3882356,0.8403386,-0.0000000
0.3882356,0.8403386,-0.0000000
0.3882356,0.8403386,-0.0000000
0.3823532,-0.0000000,-0.0000000
0.3882356,0.8403386,-0.0000000
0.3823532,-0.0000000,-120.0483780
0.3823532,-0.0000000,-120.0483780
0.3823532,-0.8403386,-120.0483780
0.3882356,-0.0000000,-120.0483780
0.3882356,-0.0000000,-120.0483780
0.3882356,0.8403386,-120.0483780
0.3882356,-0.0000000,-120.0483780
0.3882356,0.8403386,120.0483780
0.3882356,0.8403386,120.0483780
0.3882356,0.8403386,120.0483780
0.3882356,-0.0000000,120.0483780
0.3882356,-0.0000000,120.0483780
0.3882356,-0.0000000,120.0483780
0.3882356,-0.0000000,120.0483780
0.3882356,-0.0000000,-0.0000000
0.3882356,-0.0000000,-0.0000000
0.3882356,-0.0000000,-0.0000000
0.3882356,-0.0000000,-0.0000000
0.3882356,-0.0000000,-0.0000000
0.3882356,-0.0000000,-0.0000000
0.3882356,-0.0000000,-0.0000000
0.3882356,-0.0000000,-0.0000000
0.3882356,-0.0000000,-0.0000000
0.3882356,-0.0000000,-0.0000000
-0.4647064,-6.7227092,240.0967407
0.0000000,-4.5897999,163.9214172
-0.0040161,-2.8686247,163.9214172
-0.0080322,-2.8686247,163.9214172
-0.0080322,-2.2948999,163.9214172
-0.0160643,-2.2948999,163.9214172
-0.0240964,-3.4423497,-163.9213867
-0.0281125,-3.4423497,-163.9213867
0.3132532,5.1635251,81.9606781
0.0116959,6.6833954,119.3462906
0.0175439,6.6833954,-0.0000000
0.0175439,6.6833954,-0.0000000
0.0350878,8.3542442,-0.0000000
