%Time(ms),Error2,Error1,FirstTouch(m)
44748,17953.97656,287735.75,0
44749,18320.37109,305754.8438,0
44750,18366.85352,326398.375,0
44751,19144.86914,344108.8438,0
44752,19191.89648,365764.7813,0
44753,19955.23047,384484,0
44754,20200.95508,404980.7188,0
44755,20403.64844,428051.3438,0
44756,21007.24805,448160.9688,0
44757,21208.95703,469902.5313,0
44758,21396.69727,491938.4063,0
44759,21567.18164,514263.2813,0
44760,21867.62891,539085.25,0
44761,22358.08594,560909,0
44762,22419.04688,584337.75,0
44763,22445.13477,608025.1875,0
44764,22915.92969,634134.875,0
44765,23690.78711,655037.8125,0
44766,24275.33984,680884,0
44767,24726,707511.9375,0
44768,25533.7793,728920.3125,0
44769,26084.84766,755235.6875,0
44770,26642.92773,782399.5,0
44771,26857.52539,806456.25,0
44772,27110.6582,829906.0625,0
44773,27735.19141,856788.1875,0
44774,27915.55859,882374.1875,0
44775,28162.45313,908102.0625,0
44776,28339.4375,931896.25,0
44777,29427.58984,961023.5,0
44778,30095.04102,983492.5625,0
44779,30822.45313,1010780.063,0
44780,31113.61328,1036705.25,0
44781,31479.76758,1062705,0
44782,31806.86719,1088649.125,0
44783,31908.0625,1112655.125,0
44784,32710.62891,1139983.125,0
44785,33094.40234,1165901,0
