5139.227,2396,0.029,-0.030,8432
5173.686,2396,0.000,-0.031,7229
5208.052,2396,0.030,0.031,1738
5242.227,2396,-0.029,0.030,5011
5276.690,2396,0.030,0.031,-3350
5311.065,2396,0.000,0.000,2179
5345.228,2396,-0.029,0.030,-3258
5381.063,2396,0.000,-0.030,-4333
5416.812,2396,0.000,0.000,-2050
5451.166,2396,0.000,0.000,873
5485.240,2396,0.000,0.000,-2990
5519.688,2396,0.000,0.000,3009
5554.041,2396,0.000,0.000,-5070
5588.223,2396,0.000,0.000,-5762
5622.686,2396,0.000,0.000,357
5657.041,2396,0.000,0.000,-2464
5691.227,2396,0.000,0.000,-2361
5725.687,2396,0.000,0.000,1062
5760.044,2396,0.000,0.000,-3937
5794.227,2396,0.000,0.000,3190
5828.692,2396,0.000,0.000,-2937
5863.051,2396,0.000,0.000,2327
5897.228,2396,0.000,0.000,-1194
5931.686,2396,0.000,0.000,-3889
5966.040,2396,0.000,0.000,1485
6000.228,2396,0.000,0.000,-4527
6034.687,2396,0.000,0.000,1327
6069.046,2396,0.000,0.000,-3299
6103.234,2396,-0.029,0.000,-612
6137.690,2395,-0.030,0.000,-3078
6173.217,2392,-0.057,0.000,-5932
6209.060,2389,-0.147,0.000,396
6243.225,2384,-0.118,0.000,-4930
6279.061,2379,-0.147,0.000,251
6313.226,2375,-0.088,0.000,-5940
6349.068,2372,-0.088,0.030,-3783
6384.817,2369,-0.086,0.000,-1223
6420.291,2368,0.000,0.000,-7678
6454.922,2367,0.000,0.062,-1407
6489.233,2366,0.000,0.030,-6540
6523.687,2365,-0.061,0.031,-3068
6559.213,2364,0.000,0.000,-4195
6594.195,2364,0.000,0.000,-8162
6629.179,2364,0.000,0.000,-2456
6663.815,2364,0.000,0.000,-7886
6698.178,2363,-0.030,0.000,-6121
6734.065,2363,0.000,0.000,-3042
6768.233,2363,0.000,0.030,-5937
6802.693,2363,0.030,-0.031,-7014
6838.220,2364,0.029,0.000,-3335
6872.692,2366,0.121,0.000,-9631
6907.060,2369,0.061,0.000,-3663
6941.226,2371,0.029,0.000,-6443
6975.687,2371,0.030,0.000,-1590
7010.051,2373,0.030,0.000,-183
7044.225,2374,0.059,-0.030,-4638
7080.068,2376,0.088,0.000,797
7114.227,2380,0.088,0.000,-5058
7148.682,2383,0.061,0.000,-4846
7183.059,2384,0.061,0.000,73
7217.228,2385,0.029,0.000,-3896
7251.693,2387,0.030,-0.031,-3872
7287.221,2388,0.000,0.029,590
7321.689,2388,0.030,-0.031,-4018
7357.218,2389,0.057,0.000,743
7391.693,2391,0.030,0.031,-4353
7426.074,2392,0.061,0.000,-3448
7460.225,2395,0.088,0.000,-651
7494.693,2399,0.152,0.000,-6432
7529.068,2405,0.212,0.000,1391
7563.228,2413,0.235,-0.030,-4793
7599.066,2422,0.265,0.000,-669
7633.235,2432,0.265,0.000,-5765
7667.693,2442,0.273,-0.031,-5653
7703.214,2451,0.257,0.000,-875
7737.692,2459,0.212,-0.031,-6395
7773.217,2466,0.171,0.000,-490
7807.692,2471,0.121,0.000,-7571
7842.062,2475,0.061,0.000,295
7876.227,2475,0.000,0.000,-4943
7910.693,2475,-0.030,0.031,-5660
7946.215,2472,-0.143,0.029,-2155
7982.070,2465,-0.265,0.000,-6819
8017.813,2451,-0.514,0.000,-2860
8053.291,2430,-0.629,0.000,-8037
8089.218,2404,-0.714,0.029,-6375
8125.063,2379,-0.676,0.030,-2206
8160.817,2352,-0.800,0.029,-6671
8196.575,2324,-0.714,0.029,-1880
8232.211,2300,-0.600,0.000,-7807
8268.065,2279,-0.618,0.000,-5666
8303.811,2256,-0.714,0.029,-3286
8339.291,2229,-0.743,0.000,-5636
8375.216,2204,-0.686,-0.029,5247
8411.067,2179,-0.706,0.000,12899
8446.811,2156,-0.600,0.000,38883
8482.285,2135,-0.571,0.000,68623
8518.213,2115,-0.486,-0.029,79193
8554.058,2100,-0.382,0.030,99682
8589.810,2088,-0.314,0.000,104721
8625.287,2077,-0.286,-0.029,118878
8661.218,2068,-0.257,0.000,132984
8697.064,2060,-0.176,0.000,135345
8732.814,2054,-0.086,0.000,144251
8768.287,2051,-0.057,0.000,142190
8804.217,2049,-0.057,0.000,148684
8840.067,2047,-0.059,0.000,149267
8875.815,2045,-0.057,0.029,148821
8911.295,2041,-0.171,0.029,170375
8947.211,2036,-0.086,0.000,170041
8983.229,2033,-0.057,0.000,177708
9019.060,2032,-0.029,-0.030,176226
9054.817,2031,0.000,0.000,170609
9090.281,2031,0.000,0.000,174641
9126.211,2031,0.000,0.029,167452
9161.210,2031,0.000,0.000,165744
9196.207,2031,0.000,0.000,169104
9231.194,2031,0.000,0.031,169538
9267.062,2031,0.000,0.000,162260
9302.796,2031,0.000,0.000,163945
9338.256,2031,0.000,0.000,154989
9374.072,2033,0.147,0.000,141218
9409.811,2040,0.257,0.000,111470
9445.288,2050,0.314,0.000,80982
9479.934,2063,0.364,0.031,65455
9514.226,2076,0.412,0.030,44350
9548.688,2090,0.424,-0.031,31445
9584.219,2105,0.400,0.029,29687
9618.682,2118,0.333,0.062,20750
9653.067,2130,0.364,0.000,11091
9687.233,2143,0.412,-0.030,8364
9721.697,2157,0.364,0.000,-346
9756.063,2171,0.485,0.000,1145
9790.225,2188,0.529,-0.030,-4582
9826.059,2208,0.618,0.000,-2511
9860.229,2231,0.676,0.030,-398
9894.686,2256,0.727,0.000,-5575
9929.059,2280,0.667,-0.031,-1018
9964.817,2304,0.657,-0.029,-6870
10000.579,2326,0.571,0.029,-4105
