270299.622000,2315,0,0,8616618,2311
270332.621000,2315,0,0,8620011,2307
270365.621000,2315,0,0,8616043,2309
270398.620000,2316,0,0,8616035,2308
270431.622000,2316,0,0,8616673,2311
270464.621000,2317,0,0,8617955,2309
270497.619000,2316,0,0,8614204,2308
270530.621000,2316,0,0,8621126,2308
270563.621000,2316,0,0,8616572,2316
270596.621000,2316,0,0,8615216,2318
270629.620000,2316,0,0,8617131,2312
270662.621000,2316,0,0,8615681,2311
270695.620000,2316,0,0,8619057,2307
270728.621000,2317,0,0,8615132,2311
270761.621000,2317,0,0,8616497,2310
270794.620000,2316,0,0,8613394,2304
270827.620000,2315,0,0,8615574,2301
270860.621000,2314,0,0,8614982,2279
270893.622000,2307,0,1,8614490,2261
270926.620000,2304,0,1,8614065,2242
270959.608000,2281,0,5,8616660,2217
270992.621000,2268,0,0,8620229,2212
271025.618000,2256,0,1,8617869,2209
271058.621000,2242,0,0,8622253,2194
271091.619000,2231,0,0,8619376,2182
271124.618000,2221,0,1,8625059,2167
271157.618000,2208,0,0,8624988,2155
271190.621000,2197,0,0,8625933,2141
271223.622000,2187,0,1,8624582,2117
271256.621000,2173,0,0,8628785,2088
271289.619000,2159,0,0,8636839,2090
271322.621000,2144,0,0,8641453,2082
271355.621000,2130,0,1,8655876,2063
271388.621000,2116,0,1,8667655,2053
271421.622000,2105,0,0,8678427,2040
271454.617000,2098,0,1,8677238,2033
271487.621000,2090,0,0,8688551,2024
271520.619000,2083,0,1,8691038,2023
271553.619000,2076,0,1,8701583,2013
271586.621000,2070,0,1,8713078,2004
271619.618000,2064,0,1,8721274,1975
271652.621000,2059,0,0,8730522,1992
271685.622000,2055,0,0,8740046,1975
271718.618000,2050,0,0,8743940,1971
271751.618000,2048,0,0,8742827,1962
271784.541000,2048,0,0,8762317,1957
271817.542000,2048,0,0,8759207,1942
271850.613000,2032,0,16,8784904,1951
271883.621000,2028,0,0,8795193,1970
271916.620000,2027,0,0,8797089,1947
271949.619000,2027,0,0,8795007,1951
271982.620000,2027,0,0,8791207,2974
272015.619000,2030,0,-1,8778276,2007
272048.619000,2031,0,0,8765645,2024
272081.620000,2032,0,-1,8751006,2051
272114.539000,2032,0,0,8715696,2080
272147.608000,2058,0,-2,8686280,2097
272180.619000,2071,0,-1,8657740,2110
272213.622000,2084,0,-1,8644424,2126
272246.621000,2095,0,0,8638634,2133
272279.619000,2109,0,0,8636680,2156
272312.621000,2126,0,0,8619473,2174
272345.620000,2140,0,0,8613853,2191
272378.621000,2153,0,0,8617716,2223
272411.621000,2171,0,0,8617210,2247
272444.619000,2193,0,0,8622226,2269
272477.619000,2215,0,0,8615188,2304
272510.621000,2238,0,0,8621032,2321
272543.621000,2259,0,0,8616038,2332
272576.621000,2278,0,0,8615720,2343
272609.621000,2284,0,-1,8616943,2352
272642.613000,2307,0,-5,8615674,2363
272675.621000,2322,0,0,8616861,2384
272708.618000,2337,0,-1,8611609,2402
272741.621000,2353,0,0,8615733,2415
272774.621000,2368,0,0,8612113,2424
272807.621000,2382,0,0,8617450,2455
272840.618000,2394,0,-1,8617117,2439
272873.621000,2405,0,-1,8617507,2437
272906.622000,2411,0,0,8616080,2433
272939.619000,2413,0,0,8615521,2416
272972.620000,2413,0,0,8617841,2401
273005.621000,2409,0,0,8615691,2394
273038.618000,2402,0,1,8617125,2366
273071.620000,2393,0,1,8614950,2350
273104.620000,2385,0,1,8618455,2326
273137.619000,2369,0,0,8616091,2304
273170.618000,2352,0,0,8620552,2279
273203.621000,2333,0,0,8616073,2252
273236.622000,2310,0,0,8615864,2234
273269.620000,2304,0,0,8616878,2220
