% Data output, Exercise:peg_board_level_1, Input:hydra
% Date:06/15/2015, Time:16:12:13
% time, tool1_x, tool1_y, tool1_z, tool2_x, tool2_y, tool2_z, tool1_q0, tool1_q1, tool1_q2, tool1_q3, tool2_q0, tool2_q1, tool2_q2, tool2_q3, master1_x, master1_y, master1_z, master2_x, master2_y, master2_z, master1_q0, master1_q1, master1_q2, master1_q3, master2_q0, master2_q1, master2_q2, master2_q3, master1_open, master2_open, foot_pedal, is_touch, tool1_jaw_interaction, tool1_aux_interaction, tool1_normal_force, tool1_shear_force, tool2_jaw_interaction, tool2_aux_interaction, tool2_normal_force, tool2_shear_force, tool3_interact
19.549999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00932,-0.82750,-6.31812,-5.41131,3.69644,0.46413,-0.148747,0.599016,-0.126671,0.776536,0.027766,-0.105534,-0.020489,0.993817,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.566999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00616,-0.82527,-6.31638,-5.41162,3.69702,0.46314,-0.148781,0.598991,-0.126496,0.776578,0.027717,-0.105541,-0.020471,0.993818,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.584000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00719,-0.82627,-6.31796,-5.41159,3.69695,0.46326,-0.148806,0.598999,-0.126583,0.776552,0.027722,-0.105536,-0.020471,0.993818,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.600000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,0.000000,-0.114556,0.975191,10.00806,-0.82675,-6.31789,-5.41086,3.69692,0.46341,-0.148770,0.599019,-0.126612,0.776539,0.027726,-0.105534,-0.020507,0.993818,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.617001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00830,-0.82718,-6.31898,-5.41068,3.69735,0.46274,-0.148824,0.598978,-0.126668,0.776551,0.027690,-0.105524,-0.020506,0.993820,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.634001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00649,-0.82550,-6.31647,-5.41121,3.69605,0.46477,-0.148770,0.598998,-0.126511,0.776572,0.027799,-0.105577,-0.020523,0.993811,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.652000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00678,-0.82575,-6.31682,-5.41219,3.69601,0.46471,-0.148774,0.599001,-0.126533,0.776565,0.027803,-0.105598,-0.020486,0.993809,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.667000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.01056,-0.82835,-6.31851,-5.41153,3.69649,0.46401,-0.148684,0.599096,-0.126712,0.776480,0.027763,-0.105592,-0.020511,0.993810,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.683001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.01131,-0.82861,-6.31789,-5.41292,3.69596,0.46469,-0.148608,0.599158,-0.126706,0.776447,0.027804,-0.105565,-0.020429,0.993814,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.700001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00894,-0.82696,-6.31672,-5.41201,3.69596,0.46482,-0.148663,0.599094,-0.126592,0.776505,0.027805,-0.105548,-0.020466,0.993815,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
