% Data output, Exercise:myomectomy_closure_level_2, Input:mantis
% Date:06/16/2015, Time:19:41:34
% time, tool1_x, tool1_y, tool1_z, tool2_x, tool2_y, tool2_z, tool1_q0, tool1_q1, tool1_q2, tool1_q3, tool2_q0, tool2_q1, tool2_q2, tool2_q3, master1_x, master1_y, master1_z, master2_x, master2_y, master2_z, master1_q0, master1_q1, master1_q2, master1_q3, master2_q0, master2_q1, master2_q2, master2_q3, master1_open, master2_open, foot_pedal, is_touch, tool1_jaw_interaction, tool1_aux_interaction, tool1_normal_force, tool1_shear_force, tool2_jaw_interaction, tool2_aux_interaction, tool2_normal_force, tool2_shear_force, tool3_interact, tool3_normal_force, tool3_shear_force
25.649000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.82161,0.62054,-5.90234,-7.90451,0.05939,-4.73572,-0.028188,0.353740,0.465895,0.810565,-0.042386,-0.304121,-0.550613,0.776234,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.700001,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.72778,0.58135,-5.85018,-7.87868,0.04159,-4.68904,-0.034823,0.362068,0.462376,0.808643,-0.049402,-0.308272,-0.548080,0.775974,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.752001,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.63387,0.51603,-5.75605,-7.82183,0.03982,-4.65922,-0.045908,0.374001,0.455112,0.806777,-0.057697,-0.324691,-0.543649,0.771811,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.802000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.53664,0.43543,-5.60160,-7.74977,0.11919,-4.68119,-0.056319,0.389452,0.448762,0.802352,-0.064276,-0.348696,-0.539038,0.764014,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.851999,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.41174,0.32004,-5.39905,-7.63685,0.20147,-4.73546,-0.062049,0.409208,0.442942,0.795300,-0.063302,-0.368789,-0.534903,0.757540,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.903000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,0.000000,-0.294798,0.923280,8.29405,0.23852,-5.22379,-7.52225,0.23284,-4.82477,-0.065386,0.423060,0.439678,0.789575,-0.052554,-0.378171,-0.531295,0.756274,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.955999,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.20762,0.18943,-5.08958,-7.46366,0.25399,-4.89396,-0.066290,0.427874,0.438333,0.787651,-0.038009,-0.371919,-0.532048,0.759708,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.007000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,0.000000,-0.294798,0.923279,8.14174,0.14807,-4.99387,-7.46897,0.30413,-4.88095,-0.063257,0.424990,0.437092,0.790147,-0.028794,-0.355494,-0.536330,0.764948,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.059000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.10437,0.11148,-4.89105,-7.48509,0.34891,-4.79777,-0.061922,0.417414,0.435347,0.795238,-0.024960,-0.335190,-0.540088,0.771576,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.110001,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.08708,0.08636,-4.79292,-7.47719,0.38201,-4.69595,-0.059522,0.403734,0.434458,0.802934,-0.019846,-0.311254,-0.542942,0.779705,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.160999,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923279,8.07195,0.06235,-4.70494,-7.45826,0.37419,-4.59278,-0.056298,0.387656,0.433303,0.811666,-0.013797,-0.286481,-0.542032,0.789899,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
26.212000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.04874,0.03344,-4.64091,-7.44849,0.34878,-4.49725,-0.050112,0.369202,0.431309,0.821676,-0.005202,-0.256088,-0.538654,0.802648,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
