%frameid,time(us),x(mm),y(mm),z(mm) 
3496588,1907624180,-23.0931,-37.7689,202.619
3496589,1907633962,-21.0655,-32.6072,185.328
3496590,1907643820,-18.6111,-27.8257,167.413
3496591,1907653648,-15.8214,-23.8975,148.788
3496592,1907663476,-12.3125,-20.7373,131.274
3496593,1907673275,-8.50153,-18.5457,114.966
3496594,1907683164,-4.09662,-18.3802,101.061
3496595,1907692981,-0.422602,-19.4073,90.4677
3496596,1907702813,2.49406,-21.0984,83.3299
3496597,1907712657,4.63451,-24.2255,81.4339
3496598,1907722515,5.69307,-27.297,84.3607
3496599,1907732350,5.94827,-31.9142,91.8375
3496600,1907742238,5.22897,-36.4525,102.839
3496601,1907752023,4.17318,-42.3701,117.378
3496602,1907761846,2.82161,-49.5406,134.823
3496603,1907771697,1.22094,-57.8487,154.142
3496604,1907781542,-0.166697,-67.0614,174.805
3496605,1907791404,-1.40621,-77.5114,196.125
3496606,1907801194,-2.70448,-89.0836,217.271
3496607,1907811067,-3.91464,-101.352,238.339
3496608,1907820868,-5.09426,-113.816,257.706
3496609,1907830703,-6.29016,-126.177,277.115
3496610,1907840495,-7.14396,-138.697,295.139
3496611,1907850418,-7.75133,-150.405,311.438
3496612,1907860214,-8.09119,-162.215,325.664
3496613,1907870048,-8.23154,-173.531,338.026
3496614,1907879955,-8.02352,-184.532,349.494
3496615,1907889710,-7.80882,-193.779,358.91
3496616,1907899570,-7.36156,-204.477,368.75
3496617,1907909365,-7.95492,-213.273,377.486
3496618,1907919265,-7.46377,-220.799,384.91
3496619,1907929123,-7.44203,-226.545,391.044
3496620,1907938874,-7.68369,-231.268,393.57
3496621,1907948760,-6.58401,-236.928,397.565
3496622,1907958630,-6.02398,-240.32,397.353
3496623,1907968473,-4.57755,-243.834,398.859
3496624,1907978268,-4.519,-244.158,398.293
3496625,1907988161,-3.73668,-243.914,396.058
3496626,1907997983,-2.23764,-242.947,391.669
3496627,1908007806,-0.586428,-240.216,386.291
3496628,1908017642,0.325825,-236.837,380.965
3496629,1908027480,1.0323,-229.999,372.596
3496630,1908037338,1.90533,-222.562,364.366
3496631,1908047164,2.49304,-213.556,355.87
3496632,1908056891,3.69285,-204.094,345.583
3496633,1908066868,5.41423,-193.215,334.036
3496634,1908076677,6.16316,-180.374,323.404
3496635,1908086455,7.03293,-166.097,310.254
3496636,1908096303,8.23175,-150.827,296.223
3496637,1908106134,7.88609,-132.514,282.054
3496638,1908116021,7.74228,-113.822,265.695
3496639,1908125802,7.0156,-93.3948,249.057
3496640,1908135643,5.36834,-71.9148,231.274
3496641,1908145481,3.93877,-52.5743,213.005
3496642,1908155298,2.90919,-36.8103,194.233
3496643,1908165168,1.7032,-23.534,177.371
3496644,1908175028,0.126845,-12.4302,163.831
3496645,1908184849,-2.29952,-3.0601,152.8
3496646,1908194658,-4.71025,4.27401,145.689
3496647,1908204511,-6.85334,8.87497,143.58
3496648,1908214371,-9.30869,12.2783,144.482
3496649,1908224202,-12.3696,14.2368,148.169
