%frameid,time(us),x(mm),y(mm),z(mm) 
926285,1996177085,95.3768,23.5638,312.828
926286,1996186432,94.8053,17.4126,311.698
926287,1996195867,94.0286,11.2905,310.243
926288,1996205298,93.2545,4.78956,308.975
926289,1996214754,92.209,-1.81536,307.9
926290,1996224159,90.9375,-8.38203,306.993
926291,1996233679,89.4909,-14.6503,305.836
926292,1996243073,88.0055,-20.7432,304.469
926293,1996252522,86.4648,-27.2947,303.536
926294,1996261964,84.6616,-33.5718,302.37
926295,1996271421,82.7521,-39.4265,301.636
926296,1996280792,80.6589,-45.662,300.775
926297,1996290275,78.0445,-51.3714,299.731
926298,1996299685,75.3518,-57.0895,298.958
926299,1996309135,72.7432,-62.4384,297.674
926300,1996318555,69.8316,-67.8583,297.005
926301,1996327884,66.9164,-73.0376,296.248
926302,1996337416,63.8862,-78.2137,295.2
926303,1996346766,61,-83.2369,294.704
926304,1996356216,57.5049,-87.8006,293.459
926305,1996365645,53.8535,-91.5866,292.629
926306,1996375118,50.1522,-95.3026,291.509
926307,1996384555,46.5386,-100.11,292.007
926308,1996394006,42.5628,-103.799,291.269
926309,1996403416,38.711,-106.936,289.411
926310,1996412814,34.8225,-110.141,288.311
926311,1996422267,30.7178,-112.982,287.455
926312,1996431762,26.4087,-115.219,286.856
926313,1996441179,22.1101,-118.184,286.439
926314,1996450639,18.0215,-120.305,285.958
926315,1996460053,13.9407,-122.114,285.643
926316,1996469503,9.63608,-123.532,285.386
926317,1996478906,5.35566,-124.902,285.286
926318,1996488332,1.05165,-126.165,285.075
926319,1996497751,-3.13454,-127.271,284.902
926320,1996507213,-7.49274,-127.793,284.601
926321,1996516666,-11.6612,-128.273,284.344
926322,1996526084,-15.9676,-128.434,284.119
926323,1996535544,-20.0959,-128.812,283.827
926324,1996544868,-24.7304,-128.257,283.675
926325,1996554391,-28.9508,-127.631,282.805
926326,1996563787,-32.9056,-127.036,282.223
926327,1996573276,-37.298,-126.142,282
926328,1996582640,-41.635,-124.671,281.571
926329,1996592142,-46.72,-123.019,282.199
926330,1996601559,-50.8608,-121.258,281.891
926331,1996610959,-54.6976,-119.929,282.443
926332,1996620440,-59.5253,-118.075,283.501
926333,1996629786,-63.4212,-116.126,283.428
926334,1996639288,-67.1854,-114.322,283.767
926335,1996648680,-71.0653,-112.934,284.654
926336,1996658120,-75.098,-110.531,285.078
926337,1996667600,-78.531,-108.304,285.589
926338,1996677016,-82.0066,-105.779,284.768
926339,1996686462,-86.3727,-102.944,286.452
926340,1996695919,-89.8109,-99.6883,286.23
926341,1996705320,-92.6591,-97.2623,286.534
926342,1996714715,-96.0131,-94.1633,287.23
926343,1996724106,-100.115,-90.5943,288.613
926344,1996733653,-102.465,-87.4148,288.718
926345,1996743056,-104.483,-84.3628,289.255
926346,1996752480,-107.217,-81.3772,290.933
926347,1996761916,-109.382,-77.8347,291.336
926348,1996771328,-111.012,-74.5404,291.648
926349,1996780816,-112.711,-71.0414,292.189
926350,1996790213,-113.92,-66.9959,291.939
926351,1996799639,-116.232,-63.2144,293.482
