%frameid,time(us),x(mm),y(mm),z(mm) 
3500362,1953659096,11.837,-85.0071,224.809
3500363,1953668686,12.9238,-88.9643,234.754
3500364,1953678305,13.6647,-93.2991,245.41
3500365,1953687986,14.4076,-98.0368,256.265
3500366,1953697568,15.1324,-102.76,266.527
3500367,1953707166,16.0118,-108.142,277.275
3500368,1953716879,16.521,-113.335,287.537
3500369,1953726499,17.1762,-118.403,297.229
3500370,1953736126,17.8627,-124.605,306.135
3500371,1953745736,18.6975,-130.588,314.049
3500372,1953755382,19.412,-136.073,321.052
3500373,1953765015,19.9747,-141.381,327.59
3500374,1953774605,20.7612,-145.862,332.975
3500375,1953784244,21.5252,-150.501,337.57
3500376,1953793834,22.8154,-154.947,341.404
3500377,1953803520,23.7722,-158.388,344.329
3500378,1953813161,24.2296,-161.142,346.341
3500379,1953822779,24.4096,-162.473,347.134
3500380,1953832356,24.5475,-163.346,347.453
3500381,1953842034,24.8346,-163.664,346.725
3500382,1953851660,24.8853,-163.408,344.821
3500383,1953861252,24.8618,-161.752,340.845
3500384,1953870870,24.5072,-158.462,336.071
3500385,1953880551,23.9545,-154.503,330.675
3500386,1953890115,23.0255,-150.506,324.839
3500387,1953899763,22.649,-145.064,317.88
3500388,1953909388,21.7687,-138.954,310.586
3500389,1953918959,21.1854,-131.969,302.672
3500390,1953928641,19.9048,-124.631,294.354
3500391,1953938302,18.9853,-116.623,285.356
3500392,1953947882,17.1037,-107.528,276
3500393,1953957504,15.6127,-98.9262,265.943
3500394,1953986447,8.75209,-66.7335,227.355
3500395,1953996134,8.15142,-60.6971,218.244
3500396,1954005700,7.77264,-53.7481,207.62
3500397,1954015368,6.63277,-45.1815,196.168
3500398,1954025019,5.85629,-37.9632,184.229
3500399,1954034627,5.3992,-31.8592,172.503
3500400,1954044239,5.16862,-26.9934,161.945
3500401,1954053853,4.53509,-22.619,153.574
3500402,1954063448,3.99368,-19.0136,146.248
3500403,1954073040,3.32653,-15.8074,141.696
3500404,1954082767,2.20766,-13.8633,139.253
3500405,1954092315,1.6692,-13.4875,139.204
3500406,1954102011,0.995087,-13.3531,140.636
3500407,1954111608,0.0461743,-13.9627,145.209
3500408,1954121295,-0.796244,-15.3802,151.058
3500409,1954130863,-1.37794,-16.9893,157.694
3500410,1954140532,-2.50729,-18.3892,165.631
3500411,1954150118,-2.9943,-20.4621,173.644
3500412,1954159706,-3.21346,-22.8845,182.144
3500413,1954169363,-3.38289,-25.4971,190.735
3500414,1954179051,-3.71192,-27.9356,199.167
3500415,1954188663,-3.75641,-30.8474,206.944
3500416,1954198311,-3.67812,-33.6393,214.355
3500417,1954207911,-3.7365,-36.2282,221.901
3500418,1954217559,-3.7264,-38.6993,228.86
3500419,1954227166,-3.98895,-40.71,235.119
3500420,1954236798,-4.09505,-43.0079,240.912
3500421,1954246391,-4.1982,-45.0453,245.605
3500422,1954256075,-4.24858,-46.9708,249.929
3500423,1954265686,-4.38226,-48.7748,253.527
3500424,1954275255,-4.2743,-50.7316,255.936
3500425,1954284962,-4.29723,-52.1349,257.662
3500426,1954294536,-4.23742,-52.8861,258.603
3500427,1954304216,-4.23787,-53.4778,259.023
3500428,1954313828,-4.23275,-54.0018,259.147
3500429,1954323397,-4.00656,-54.4953,258.836
3500430,1954333079,-3.79048,-54.9644,257.861
3500431,1954342690,-3.3718,-55.5473,255.505
3500432,1954352353,-2.99524,-55.6534,252.144
3500433,1954361938,-2.77018,-55.1359,248.231
3500434,1954371566,-2.20018,-54.7617,243.683
3500435,1954381189,-1.58178,-54.3266,238.434
3500436,1954390785,-1.15371,-53.3328,233.426
3500437,1954400460,-0.565087,-52.133,227.833
3500438,1954410095,0.0352123,-50.9133,222.191
3500439,1954419711,0.856897,-49.8396,216.285
3500440,1954429403,1.89218,-48.7731,210.14
3500441,1954439154,2.93151,-47.8018,204.082
3500442,1954448552,3.8829,-46.7489,198.351
3500443,1954458281,5.16,-45.8514,192.69
3500444,1954467897,6.17039,-45.2347,187.282
3500445,1954477492,7.6581,-44.6746,182.39
3500446,1954487049,9.02949,-44.2243,178.353
3500447,1954496737,10.637,-44.0424,174.983
3500448,1954506314,11.9419,-43.9423,172.759
3500449,1954515997,13.2721,-44.0379,171.196
3500450,1954525624,14.7171,-44.4033,170.266
3500451,1954535248,16.0173,-44.7166,169.963
3500452,1954544903,17.7111,-45.1175,170.384
3500453,1954554511,19.8322,-46.1248,171.978
3500454,1954564138,22.0618,-47.3869,174.819
3500455,1954573776,24.2705,-49.0883,178.575
3500456,1954592990,28.0577,-53.0084,189.941
3500457,1954602599,29.3633,-54.9265,195.207
3500458,1954612239,31.2383,-57.3221,201.319
3500459,1954621865,32.678,-60.1157,208.252
3500460,1954631514,34.1259,-63.1008,215.749
3500461,1954641185,35.7769,-66.6074,223.891
3500462,1954650800,37.0727,-70.4395,232.616
3500463,1954660437,38.0907,-74.4219,241.548
3500464,1954670046,39.0124,-78.5512,250.181
3500465,1954679756,40.3278,-82.9791,259.088
3500466,1954689358,41.2905,-87.6928,268.122
3500467,1954698981,42.0398,-91.9151,276.28
3500468,1954708536,42.6367,-96.0895,284.295
3500469,1954718182,43.2264,-100.545,290.927
3500470,1954727825,43.6938,-104.458,297.127
3500471,1954737451,43.54,-107.903,302.237
3500472,1954747075,43.1095,-110.88,307.037
3500473,1954756681,43.4144,-114.234,311.109
3500474,1954766381,43.3802,-116.774,313.954
3500475,1954776006,43.2336,-118.495,315.747
3500476,1954785637,42.8483,-119.48,316.308
3500477,1954795296,42.2675,-120.019,316.259
3500478,1954804899,41.5148,-120.188,315.616
3500479,1954814497,40.3053,-120.07,314.155
3500480,1954824073,39.0221,-119.88,311.519
3500481,1954833781,37.9738,-119.193,308.689
3500482,1954843390,36.7734,-117.861,305.531
3500483,1954853059,35.481,-116.756,301.997
3500484,1954862628,34.5587,-115.816,298.83
3500485,1954872297,33.9628,-114.958,295.849
3500486,1954881884,33.5577,-114.56,294.039
3500487,1954891474,33.6157,-114.615,293.218
3500488,1954901177,33.7896,-114.732,292.45
3500489,1954910837,33.818,-114.81,292.11
3500490,1954920451,33.9359,-114.95,291.913
3500491,1954930072,34.1399,-115.315,291.967
3500492,1954939603,34.7206,-116.793,292.864
3500493,1954949316,35.0919,-118.536,294.563
3500494,1954958976,35.9409,-121.111,297.313
3500495,1954968556,36.6876,-123.43,299.659
3500496,1954978189,37.38,-125.653,301.35
3500497,1954987806,38.0046,-127.223,303.063
3500498,1954997481,38.798,-128.696,304.165
3500499,1955007035,39.3034,-130.085,305.16
3500500,1955016679,39.7755,-131.083,305.39
3500501,1955026365,40.1654,-131.791,304.884
3500502,1955035964,40.198,-132.037,303.812
3500503,1955045602,40.1483,-131.551,301.216
3500504,1955055265,39.8628,-129.93,296.765
3500505,1955064900,39.093,-126.425,292.042
3500506,1955074505,38.2641,-122.561,286.635
3500507,1955084148,36.8518,-117.634,280.722
3500508,1955093685,35.12,-112.343,274.2
3500509,1955103312,33.5992,-106.05,267.057
3500510,1955113017,32.1251,-99.3646,259.31
3500511,1955122593,30.2606,-92.0749,251.608
3500512,1955132300,28.924,-84.5062,243.197
3500513,1955141890,27.4669,-76.8445,234.694
3500514,1955151479,26.3942,-69.6921,225.735
3500515,1955161159,24.9119,-62.0552,216.811
3500516,1955170783,23.4701,-54.3201,208.073
3500517,1955180390,22.1278,-46.2151,199.511
3500518,1955209301,19.1304,-23.8387,169.54
3500519,1955218916,18.41,-18.4759,163.473
3500520,1955228537,17.5435,-12.9267,156.825
3500521,1955238174,16.6166,-8.09465,149.864
3500522,1955247793,16.0498,-0.710775,140.76
3500523,1955257427,14.8515,3.82339,133.687
3500524,1955267105,13.6508,7.26784,128.308
3500525,1955276701,12.1931,10.989,124.574
3500526,1955286288,11.3111,13.5644,122.537
3500527,1955295939,10.7002,15.7675,121.702
3500528,1955305540,10.299,18.0937,121.953
3500529,1955315166,9.45869,21.1758,123.49
3500530,1955324808,8.57165,24.2553,126.072
3500531,1955334433,8.12629,26.0204,129.198
3500532,1955344050,7.27374,28.4731,133.813
3500533,1955353656,6.26643,30.3642,139.04
3500534,1955363285,5.42169,32.1192,145
3500535,1955372916,4.7195,33.8119,151.81
3500536,1955382565,3.44616,35.1363,158.702
3500537,1955392183,2.92221,35.6427,165.426
3500538,1955401806,2.2612,36.4435,172.932
3500539,1955411474,1.22733,36.9198,180.504
3500540,1955421074,0.261092,37.2111,187.857
3500541,1955430699,-0.823851,37.8003,195.112
3500542,1955440308,-1.86607,37.9576,201.916
3500543,1955449973,-3.08443,37.9671,209.109
3500544,1955459596,-3.89162,37.2756,215.797
3500545,1955469258,-5.15012,36.1621,222.532
3500546,1955478849,-6.37614,34.6654,229.615
3500547,1955488505,-7.51276,33.0375,236.415
3500548,1955498119,-8.82369,31.8275,243.129
3500549,1955507743,-10.1081,29.3513,248.907
3500550,1955517379,-11.35,27.2931,254.408
