%Index, Time (s), xGaze (pixels), yGaze (pixels) 
1371,78484680.000,1307,643
1372,78484752.000,1334,580
1373,78484816.000,1322,603
1374,78484872.000,1306,687
1375,78484952.000,1335,700
1376,78485024.000,1381,648
1377,78485104.000,1375,606
1378,78485144.000,1379,673
1379,78485192.000,1390,636
1380,78485280.000,1407,608
1381,78485352.000,1384,649
1382,78485416.000,1368,678
1383,78485488.000,1415,664
1384,78485552.000,1437,624
1385,78485608.000,1519,675
1386,78485656.000,1507,663
1387,78485744.000,1496,634
1388,78485808.000,1489,647
1389,78485808.000,1489,647
1390,78485808.000,1489,647
1391,78486016.000,1489,675
1392,78486072.000,1528,688
1393,78486104.000,1494,722
1394,78486192.000,1502,597
1395,78486256.000,1512,609
1396,78486312.000,1498,618
1397,78486392.000,1487,642
1398,78486448.000,1463,657
1399,78486512.000,1382,720
1400,78486552.000,1424,679
1401,78486648.000,1437,639
1402,78486704.000,1369,662
1403,78486704.000,1369,662
1404,78486704.000,1369,662
1405,78486704.000,1369,662
1406,78486960.000,1180,631
1407,78487008.000,1179,632
1408,78487080.000,1034,642
1409,78487152.000,903,617
1410,78487216.000,894,622
1411,78487296.000,900,604
1412,78487368.000,876,615
1413,78487432.000,742,628
1414,78487488.000,690,624
1415,78487544.000,660,619
1416,78487592.000,630,617
1417,78487712.000,554,641
1418,78487752.000,503,644
1419,78487848.000,451,649
1420,78487904.000,447,645
1421,78487976.000,449,670
1422,78488040.000,417,658
1423,78488096.000,232,645
1424,78488192.000,210,648
1425,78488248.000,212,665
1426,78488312.000,242,643
1427,78488384.000,232,651
1428,78488448.000,194,651
1429,78488504.000,203,660
1430,78488568.000,211,654
1431,78488640.000,214,614
1432,78488712.000,159,639
1433,78488776.000,244,666
1434,78488832.000,258,631
1435,78488928.000,289,642
1436,78489000.000,330,686
1437,78489056.000,281,661
1438,78489104.000,308,665
1439,78489176.000,366,706
1440,78489256.000,342,728
1441,78489312.000,364,733
1442,78489384.000,372,753
1443,78489448.000,327,769
1444,78489512.000,370,736
1445,78489552.000,359,762
1446,78489616.000,354,757
1447,78489688.000,389,796
1448,78489752.000,393,837
1449,78489824.000,428,895
1450,78489888.000,431,893
1451,78489944.000,378,832
1452,78490008.000,355,798
1453,78490096.000,435,872
1454,78490152.000,425,865
1455,78490248.000,416,775
1456,78490304.000,417,729
1457,78490368.000,384,704
1458,78490424.000,439,739
1459,78490488.000,446,810
1460,78490560.000,429,730
1461,78490608.000,436,716
1462,78490680.000,418,766
1463,78490736.000,462,717
1464,78490816.000,1269,744
1465,78490888.000,1676,817
1466,78490968.000,1622,821
1467,78491024.000,1598,882
1468,78491088.000,1642,860
1469,78491144.000,1719,862
1470,78491208.000,1738,859
1471,78491280.000,1764,802
1472,78491336.000,1771,838
1473,78491400.000,1806,837
1474,78491456.000,1828,897
1475,78491504.000,1849,884
1476,78491608.000,1860,879
1477,78491656.000,1846,879
1478,78491728.000,1864,880
1479,78491792.000,1864,949
1480,78491848.000,1892,898
1481,78491912.000,1848,888
1482,78491952.000,1831,907
1483,78492032.000,1841,890
1484,78492088.000,1887,919
1485,78492168.000,1893,958
1486,78492224.000,1884,942
1487,78492288.000,1862,947
1488,78492328.000,1889,935
1489,78492400.000,1536,700
1490,78492480.000,1171,566
1491,78492520.000,1177,571
1492,78492600.000,1166,447
1493,78492672.000,1157,405
1494,78492736.000,1178,413
1495,78492792.000,1143,332
1496,78492856.000,1097,306
1497,78492944.000,1109,295
1498,78493008.000,1112,367
1499,78493064.000,1111,382
1500,78493144.000,1054,312
1501,78493200.000,1066,293
1502,78493272.000,1087,256
1503,78493336.000,1112,277
1504,78493408.000,1124,188
1505,78493456.000,1110,206
1506,78493528.000,1131,227
1507,78493608.000,1159,167
1508,78493680.000,1135,183
1509,78493728.000,1158,132
1510,78493816.000,1186,96
1511,78493872.000,1171,94
1512,78493936.000,1150,93
1513,78494016.000,1158,70
1514,78494088.000,1158,49
1515,78494160.000,1135,68
1516,78494208.000,1156,37
1517,78494280.000,1171,74
1518,78494336.000,1242,51
1519,78494400.000,1245,39
1520,78494472.000,1141,76
1521,78494536.000,1187,-18
1522,78494608.000,1287,39
1523,78494688.000,1234,131
1524,78494744.000,1274,98
1525,78494808.000,1281,100
1526,78494864.000,1282,114
1527,78494952.000,1282,147
1528,78495016.000,1274,154
1529,78495072.000,1525,301
1530,78495136.000,1601,386
1531,78495224.000,1568,424
1532,78495288.000,1597,406
1533,78495344.000,1613,399
1534,78495408.000,1634,423
1535,78495480.000,1664,424
1536,78495560.000,1641,473
1537,78495616.000,1597,508
1538,78495672.000,1637,495
1539,78495736.000,1708,494
1540,78495792.000,1708,454
1541,78495856.000,1714,440
1542,78495928.000,1708,450
1543,78495992.000,1696,440
1544,78496072.000,1686,453
1545,78496128.000,1663,447
1546,78496200.000,1692,445
1547,78496272.000,1693,500
1548,78496352.000,1725,431
1549,78496408.000,1691,424
1550,78496456.000,1684,433
1551,78496544.000,1651,396
1552,78496608.000,1466,463
1553,78496608.000,1466,463
1554,78496608.000,1466,463
1555,78496608.000,1466,463
1556,78496832.000,1256,457
1557,78496952.000,1193,491
1558,78496960.000,1193,491
1559,78497056.000,1193,491
1560,78497096.000,1193,491
1561,78497176.000,1193,491
1562,78497176.000,1193,491
1563,78497280.000,1193,491
1564,78497400.000,1193,491
1565,78497456.000,478,197
1566,78497536.000,632,255
1567,78497576.000,628,345
1568,78497656.000,596,220
1569,78497712.000,561,102
1570,78497776.000,652,283
