time,x_corr,y_corr,z_corr,Q1L,Q2L,dL,Q3L,QgL,FgL,Q1R,Q2R,dR,Q3R,QgR,FgR,xL,yL,zL,xR,yR,zR,toolPathL,toolPathR,toolSpeedL,toolSpeedR,toolAccL,toolAccR,toolJerkL,toolJerkR,toolPathCrvL,toolPathCrvR,dQ3L,dQgL,dFgL,dQ3R,dQgR,dFgR,dQ3Latan,dQ3Ratan,dxL,dyL,dzL,dxR,dyR,dzR,inputx,inputy,inputz,skillLevel
-2.013000,-0.161241,-3.111640,3.181233,11.230154,-24.049789,-7.179122,25.933622,4.262021,0.271476,6.905135,-30.402441,-8.359214,31.871603,3.403115,0.096886,-2.297671,0.550304,4.939278,0.828421,-0.661508,6.369479,20.437637,20.045394,5.234956,9.314492,-64.325610,-48.940803,970.211108,-35.365305,1.963102,0.282459,-1.097412,-3.787565,-0.975383,10.071586,2.054183,-3.058859,-1.723767,15.786308,-3.191567,2.127170,-5.452785,-4.311948,-0.040206,-6.287243,-1.832204,-3.700343,7.068694,3.000000
-1.980000,-0.297721,-3.019228,3.028640,11.594097,-23.454771,-7.125694,25.913516,4.027581,0.239720,7.095510,-30.900912,-8.213184,31.851019,3.629656,-0.013450,-2.434151,0.642716,4.786685,0.693827,-0.654880,6.182425,20.544419,20.363284,3.417609,7.337455,-24.740146,-44.647180,1759.761082,488.968240,1.451647,0.605666,0.674564,-7.697070,-0.903866,-7.686146,14.218261,-3.435082,1.059592,-12.058189,-5.019489,3.517242,-3.810445,-3.812296,0.521604,-5.097855,-1.832204,-3.700343,7.068694,3.000000
-1.947000,-0.489627,-2.878988,2.927765,11.849989,-22.575813,-7.051455,25.973190,3.748088,0.212678,7.174709,-31.269537,-8.069854,31.307194,4.328611,-0.128682,-2.626057,0.782956,4.685810,0.577575,-0.625220,6.031091,20.661544,20.520025,3.167935,5.855609,44.921397,-16.154646,2133.314171,804.036094,0.748911,1.168693,-6.199787,-4.904459,-0.802973,-20.754500,27.953267,-3.310382,-9.730628,-32.306371,-6.521010,4.980702,-2.364407,-3.209849,1.332281,-4.142383,-1.832204,-3.700343,7.068694,3.000000
-1.914000,-0.724381,-2.691165,2.869848,11.992564,-21.470035,-6.956082,25.638594,3.692912,0.188165,7.162029,-31.487924,-7.903736,30.470353,5.470752,-0.230585,-2.860811,0.970779,4.627893,0.482453,-0.565706,5.906646,20.763622,20.720040,5.794947,6.077609,121.637375,17.330777,1520.396257,605.191365,0.354011,1.638927,-27.689183,5.474331,-0.815265,-28.397833,38.319277,-2.665074,-42.802912,-43.862712,-7.592870,6.355949,-1.249613,-2.543646,2.301831,-3.482880,-1.832204,-3.700343,7.068694,3.000000
-1.881000,-0.986455,-2.461268,2.841999,12.026190,-20.210309,-6.861698,24.314150,4.100743,0.160461,7.082479,-31.547131,-7.716659,29.491590,6.860247,-0.303054,-3.122885,1.200676,4.600044,0.409826,-0.472800,5.798609,21.002210,20.911685,11.169950,7.484768,157.690681,28.918305,-58.758005,102.567920,0.170478,1.460592,-58.914526,21.021925,-0.985777,-32.332039,41.538183,-1.627725,-86.479878,-49.697844,-8.161895,7.490787,-0.573620,-1.859509,3.325068,-3.155205,-1.832204,-3.700343,7.068694,3.000000
-1.848000,-1.258490,-2.199462,2.828456,11.965456,-18.880244,-6.769835,21.806879,5.075321,0.124474,6.964832,-31.451088,-7.529692,28.420370,8.212620,-0.336484,-3.394920,1.462482,4.586501,0.359491,-0.346532,5.695811,21.488402,21.224631,16.859032,8.454202,121.582399,17.156585,-1764.998693,-212.144345,0.125793,0.896782,-84.767784,37.055152,-1.240383,-33.355475,36.683252,-0.419377,-117.005718,-51.201630,-8.192022,8.259756,-0.396350,-1.205159,4.294279,-3.163731,-1.832204,-3.700343,7.068694,3.000000
-1.815000,-1.522605,-1.919434,2.812427,11.834201,-17.567905,-6.647228,18.627201,6.540583,0.079529,6.839169,-31.216422,-7.353980,27.327107,9.271098,-0.329496,-3.659035,1.742510,4.570472,0.329702,-0.190383,5.587484,22.126309,21.512343,19.634624,8.353565,32.573130,5.511259,-2564.655660,-168.675245,0.191155,0.478839,-90.097851,48.561877,-1.422994,-30.091931,25.944130,0.731297,-122.627830,-46.385666,-7.688073,8.578383,-0.716666,-0.625342,5.111660,-3.479025,-1.832204,-3.700343,7.068694,3.000000
-1.782000,-1.761758,-1.636858,2.778232,11.663037,-16.358846,-6.453264,15.737025,8.268050,0.031008,6.734119,-30.870782,-7.171923,26.398245,9.902407,-0.287641,-3.898188,2.025086,4.536277,0.317335,-0.010759,5.464376,22.854687,21.772758,18.579894,8.191383,-56.090781,7.843087,-2053.755602,-58.665563,0.325155,0.307894,-71.275994,52.076958,-1.371449,-21.383756,13.375725,1.664311,-101.753334,-33.267496,-6.695791,8.412655,-1.468708,-0.157503,5.700060,-4.039241,-1.832204,-3.700343,7.068694,3.000000
-1.749000,-1.961054,-1.367643,2.713375,11.485712,-15.329125,-6.179623,13.920651,9.956353,-0.010928,6.674037,-30.449884,-6.951672,25.855117,10.126322,-0.220029,-4.097484,2.294302,4.471420,0.318198,0.183827,5.319754,23.308963,22.008635,15.469714,8.828098,-102.937462,11.325664,-643.341132,-137.176849,0.549517,0.280673,-38.748667,46.732496,-0.996794,-9.600239,2.870312,2.324766,-59.021875,-15.050475,-5.298064,7.782550,-2.529114,0.171583,6.010831,-4.755491,-1.832204,-3.700343,7.068694,3.000000
-1.716000,-2.108866,-1.126165,2.610216,11.334832,-14.539039,-5.862975,13.322683,11.325361,-0.034970,6.676474,-29.993713,-6.681084,25.750879,10.071602,-0.135630,-4.245295,2.535779,4.368261,0.327421,0.383789,5.150163,23.825714,22.349690,11.962064,9.501711,-96.353426,1.240092,848.641417,-255.453239,0.902323,0.289141,-8.319817,34.224138,-0.331106,-0.700874,-3.524697,2.748201,-13.049492,-1.100919,-3.607634,6.759144,-3.734267,0.347905,6.027945,-5.520897,-1.832204,-3.700343,7.068694,3.000000
-1.683000,-2.197662,-0.923705,2.466922,11.237607,-14.028250,-5.559955,13.530715,12.189806,-0.033095,6.750241,-29.542350,-6.383994,25.860005,9.890881,-0.040944,-4.334092,2.738239,4.224967,0.339896,0.579565,4.955837,24.162167,22.670127,9.066743,9.125101,-45.859769,-13.432224,1641.112472,-158.473873,1.313547,0.297528,10.551946,17.933883,0.476199,-0.140076,-6.101951,3.008126,16.535754,-0.220031,-1.757029,5.455613,-4.904756,0.370919,5.768034,-6.222452,-1.832204,-3.700343,7.068694,3.000000
-1.650000,-2.224472,-0.767270,2.287543,11.212280,-13.812842,-5.308761,14.048961,12.493123,-0.003936,6.894374,-29.131954,-6.100466,25.804565,9.685213,0.060133,-4.360902,2.894674,4.045588,0.350713,0.762645,4.740691,24.420272,22.967253,8.467252,8.139844,17.901088,-14.420446,1328.981270,62.860553,1.478312,0.302334,19.025535,1.708808,1.211054,-8.251234,-6.704896,3.155679,29.657621,-12.942232,0.113272,4.013207,-5.872868,0.252881,5.276538,-6.754276,-1.832204,-3.700343,7.068694,3.000000
-1.617000,-2.190942,-0.658940,2.081179,11.265822,-13.884640,-5.110574,14.672151,12.300618,0.046313,7.098208,-28.791384,-5.852547,25.325644,9.476309,0.164574,-4.327372,3.003005,3.839224,0.355563,0.926420,4.511864,24.626492,23.182253,10.519359,7.800417,50.000985,-3.825121,172.692184,82.112870,1.246339,0.307127,23.428853,-11.229767,1.673282,-19.628942,-7.285629,3.182697,36.379863,-30.583318,1.867218,2.583894,-6.508236,0.016984,4.620606,-7.030545,-1.832204,-3.700343,7.068694,3.000000
